ID,Type,SKU,Name,Published,Is featured?,Visibility in catalog,Short description,Description,Date sale price starts,Date sale price ends,Tax status,Tax class,In stock?,Stock,Low stock amount,Backorders allowed?,Sold individually?,Weight (kg),Length (cm),Width (cm),Height (cm),Allow customer reviews?,Purchase note,Sale price,Regular price,Categories,Tags,Shipping class,Images,Download limit,Download expiry days,Parent,Grouped products,Upsells,Cross-sells,External URL,Button text,Position,Attribute 1 name,Attribute 1 value(s),Attribute 1 visible,Attribute 1 global,Attribute 1 default,Attribute 2 name,Attribute 2 value(s),Attribute 2 visible,Attribute 2 global,Attribute 2 default,Attribute 3 name,Attribute 3 value(s),Attribute 3 visible,Attribute 3 global,Attribute 3 default,Attribute 4 name,Attribute 4 value(s),Attribute 4 visible,Attribute 4 global,Attribute 4 default,Attribute 5 name,Attribute 5 value(s),Attribute 5 visible,Attribute 5 global,Attribute 5 default,Meta: hwp_product_gtin
12749033_whinging-rissole_O1X6B,variation,12749033_whinging-rissole_O1X6B,Space Turtles iPhone Case,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,1,,33.34,20,,,,https://ih1.redbubble.net/image.994491797.9033/mwo%2Cx1000%2Ciphone_6plus_tough-pad%2C750x1000%2Cf8f8f8.u1.jpg,,,12749033_whinging-rissole_TQTSI,,,,,,0,Case_type,Tough Case,,1,,Model,iPhone 6 Plus,,1,
12749033_whinging-rissole_X8V3Y,variation,12749033_whinging-rissole_X8V3Y,Space Turtles iPhone Case,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,1,,33.34,20,,,,https://ih1.redbubble.net/image.994491797.9033/mwo%2Cx1000%2Ciphone_6_tough-pad%2C750x1000%2Cf8f8f8.u1.jpg,,,12749033_whinging-rissole_TQTSI,,,,,,0,Case_type,Tough Case,,1,,Model,iPhone 6,,1,
12749033_whinging-rissole_KUSIX,variation,12749033_whinging-rissole_KUSIX,Space Turtles iPhone Case,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,1,,33.34,20,,,,https://ih1.redbubble.net/image.994491797.9033/mwo%2Cx1000%2Ciphone_5c_tough-pad%2C750x1000%2Cf8f8f8.u1.jpg,,,12749033_whinging-rissole_TQTSI,,,,,,0,Case_type,Tough Case,,1,,Model,iPhone 5c,,1,
12749033_whinging-rissole_WXZ4F,variation,12749033_whinging-rissole_WXZ4F,Space Turtles iPhone Case,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,1,,33.34,20,,,,https://ih1.redbubble.net/image.994491797.9033/mwo%2Cx1000%2Ciphone_5_tough-pad%2C750x1000%2Cf8f8f8.u1.jpg,,,12749033_whinging-rissole_TQTSI,,,,,,0,Case_type,Tough Case,,1,,Model,iPhone SE (2016)/5s/5,,1,
12749033_whinging-rissole_8WRLK,variation,12749033_whinging-rissole_8WRLK,Space Turtles iPhone Case,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,1,,33.34,20,,,,https://ih1.redbubble.net/image.994491797.9033/mwo%2Cx1000%2Ciphone_4_tough-pad%2C750x1000%2Cf8f8f8.u1.jpg,,,12749033_whinging-rissole_TQTSI,,,,,,0,Case_type,Tough Case,,1,,Model,iPhone 4s/4,,1,
12749033_cranky-beetroot_WH2EV,variation,12749033_cranky-beetroot_WH2EV,Space Turtles iPhone Case,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,1,,21.11,12.66,,,,https://ih1.redbubble.net/image.994491797.9033/icr%2Ciphone_15_soft%2Cback%2Ca%2Cx1000-bg%2Cf8f8f8.u1.jpg,,,12749033_whinging-rissole_TQTSI,,,,,,0,Case_type,Soft Case,,1,,Model,iPhone 15,,1,
12749033_cranky-beetroot_PYURK,variation,12749033_cranky-beetroot_PYURK,Space Turtles iPhone Case,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,1,,21.11,12.66,,,,https://ih1.redbubble.net/image.994491797.9033/icr%2Ciphone_15_pro_soft%2Cback%2Ca%2Cx1000-bg%2Cf8f8f8.u1.jpg,,,12749033_whinging-rissole_TQTSI,,,,,,0,Case_type,Soft Case,,1,,Model,iPhone 15 Pro,,1,
12749033_cranky-beetroot_H9F8C,variation,12749033_cranky-beetroot_H9F8C,Space Turtles iPhone Case,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,1,,21.11,12.66,,,,https://ih1.redbubble.net/image.994491797.9033/icr%2Ciphone_15_plus_soft%2Cback%2Ca%2Cx1000-bg%2Cf8f8f8.u1.jpg,,,12749033_whinging-rissole_TQTSI,,,,,,0,Case_type,Soft Case,,1,,Model,iPhone 15 Plus,,1,
12749033_cranky-beetroot_Y86QV,variation,12749033_cranky-beetroot_Y86QV,Space Turtles iPhone Case,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,1,,21.11,12.66,,,,https://ih1.redbubble.net/image.994491797.9033/icr%2Ciphone_15_pro_max_soft%2Cback%2Ca%2Cx1000-bg%2Cf8f8f8.u1.jpg,,,12749033_whinging-rissole_TQTSI,,,,,,0,Case_type,Soft Case,,1,,Model,iPhone 15 Pro Max,,1,
12749033_cranky-beetroot_B3ZQH,variation,12749033_cranky-beetroot_B3ZQH,Space Turtles iPhone Case,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,1,,21.11,12.66,,,,https://ih1.redbubble.net/image.994491797.9033/icr%2Ciphone_14_soft%2Cback%2Ca%2Cx1000-bg%2Cf8f8f8.u1.jpg,,,12749033_whinging-rissole_TQTSI,,,,,,0,Case_type,Soft Case,,1,,Model,iPhone 14,,1,
12749033_cranky-beetroot_VJ8AE,variation,12749033_cranky-beetroot_VJ8AE,Space Turtles iPhone Case,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,1,,21.11,12.66,,,,https://ih1.redbubble.net/image.994491797.9033/icr%2Ciphone_14_plus_soft%2Cback%2Ca%2Cx1000-bg%2Cf8f8f8.u1.jpg,,,12749033_whinging-rissole_TQTSI,,,,,,0,Case_type,Soft Case,,1,,Model,iPhone 14 Plus,,1,
12749033_cranky-beetroot_BPCDN,variation,12749033_cranky-beetroot_BPCDN,Space Turtles iPhone Case,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,1,,21.11,12.66,,,,https://ih1.redbubble.net/image.994491797.9033/icr%2Ciphone_14_pro_soft%2Cback%2Ca%2Cx1000-bg%2Cf8f8f8.u1.jpg,,,12749033_whinging-rissole_TQTSI,,,,,,0,Case_type,Soft Case,,1,,Model,iPhone 14 Pro,,1,
12749033_cranky-beetroot_DE620,variation,12749033_cranky-beetroot_DE620,Space Turtles iPhone Case,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,1,,21.11,12.66,,,,https://ih1.redbubble.net/image.994491797.9033/icr%2Ciphone_14_pro_max_soft%2Cback%2Ca%2Cx1000-bg%2Cf8f8f8.u1.jpg,,,12749033_whinging-rissole_TQTSI,,,,,,0,Case_type,Soft Case,,1,,Model,iPhone 14 Pro Max,,1,
12749033_cranky-beetroot_E69SZ,variation,12749033_cranky-beetroot_E69SZ,Space Turtles iPhone Case,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,1,,21.11,12.66,,,,https://ih1.redbubble.net/image.994491797.9033/icr%2Ciphone_13_soft%2Cback%2Ca%2Cx1000-bg%2Cf8f8f8.u1.jpg,,,12749033_whinging-rissole_TQTSI,,,,,,0,Case_type,Soft Case,,1,,Model,iPhone 13,,1,
12749033_cranky-beetroot_M4J4F,variation,12749033_cranky-beetroot_M4J4F,Space Turtles iPhone Case,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,1,,21.11,12.66,,,,https://ih1.redbubble.net/image.994491797.9033/icr%2Ciphone_13_pro_soft%2Cback%2Ca%2Cx1000-bg%2Cf8f8f8.u1.jpg,,,12749033_whinging-rissole_TQTSI,,,,,,0,Case_type,Soft Case,,1,,Model,iPhone 13 Pro,,1,
12749033_cranky-beetroot_HXWKK,variation,12749033_cranky-beetroot_HXWKK,Space Turtles iPhone Case,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,1,,21.11,12.66,,,,https://ih1.redbubble.net/image.994491797.9033/icr%2Ciphone_13_pro_max_soft%2Cback%2Ca%2Cx1000-bg%2Cf8f8f8.u1.jpg,,,12749033_whinging-rissole_TQTSI,,,,,,0,Case_type,Soft Case,,1,,Model,iPhone 13 Pro Max,,1,
12749033_cranky-beetroot_UBASF,variation,12749033_cranky-beetroot_UBASF,Space Turtles iPhone Case,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,1,,21.11,12.66,,,,https://ih1.redbubble.net/image.994491797.9033/icr%2Ciphone_13_mini_soft%2Cback%2Ca%2Cx1000-bg%2Cf8f8f8.u1.jpg,,,12749033_whinging-rissole_TQTSI,,,,,,0,Case_type,Soft Case,,1,,Model,iPhone 13 mini,,1,
12749033_cranky-beetroot_PGM2E,variation,12749033_cranky-beetroot_PGM2E,Space Turtles iPhone Case,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,1,,21.11,12.66,,,,https://ih1.redbubble.net/image.994491797.9033/icr%2Ciphone_12_soft%2Cback%2Ca%2Cx1000-bg%2Cf8f8f8.u1.jpg,,,12749033_whinging-rissole_TQTSI,,,,,,0,Case_type,Soft Case,,1,,Model,iPhone 12,,1,
